"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"cci","EQ_DHS","PUBLISHED","1997","AMR","NIC","URB","78.5","78.53565","","",""
"cci","EQ_DHS","PUBLISHED","2011","SEAR","NPL","RUR","61.9","61.87218","","",""
"cci","EQ_MICS","PUBLISHED","2010","AFR","SWZ","RUR","78.9","78.91832","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","TGO","RUR","46.6","46.55412","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","ALB","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2005","EUR","ARM","RUR","77.0","77.01567","","",""
"cci","EQ_DHS","PUBLISHED","1994","AFR","CIV","RUR","35.9","35.85818","","",""
"cci","EQ_MICS","PUBLISHED","2006","AMR","CUB","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2000","WPR","KHM","RUR","44.1","44.14134","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","LBR","URB","65.6","65.55975","","",""
"cci","EQ_DHS","PUBLISHED","2008","AFR","NGA","URB","58.1","58.06037","","",""
"cci","EQ_DHS","PUBLISHED","1996","SEAR","NPL","URB","57.0","57.01752","","",""
"cci","EQ_DHS","PUBLISHED","2008","AFR","SLE","RUR","47.1","47.05119","","",""
"cci","EQ_DHS","PUBLISHED","2008","AFR","STP","URB","72.0","72.01951","","",""
"cci","EQ_MICS","PUBLISHED","2006","EMR","SYR","RUR","74.0","73.98947","","",""
"cci","EQ_MICS","PUBLISHED","2014","AFR","ZWE","RUR","79.1","79.11668","","",""
"cci","EQ_DHS","PUBLISHED","2008","EUR","ALB","URB","90.5","90.52254","","",""
"cci","EQ_DHS","PUBLISHED","2011","AFR","CIV","RUR","48.8","48.75324","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","COD","URB","66.9","66.87673","","",""
"cci","EQ_DHS","PUBLISHED","2009","AMR","GUY","RUR","72.0","72.00834","","",""
"cci","EQ_DHS","PUBLISHED","2005","AMR","HND","URB","81.4","81.44076","","",""
"cci","EQ_DHS","PUBLISHED","2006","AFR","MLI","URB","60.7","60.66269","","",""
"cci","EQ_MICS","PUBLISHED","2008","AFR","MOZ","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2011","AMR","PER","RUR","78.5","78.50014","","",""
"cci","EQ_DHS","PUBLISHED","1993","WPR","PHL","URB","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2006","AMR","TTO","RUR","No data","","","","Not available."
"cci","EQ_DHS","PUBLISHED","1996","AFR","TZA","URB","75.5","75.49669","","",""
"cci","EQ_DHS","PUBLISHED","2005","AFR","ZWE","URB","76.0","76.02246","","",""
"cci","EQ_MICS","PUBLISHED","2010","EMR","AFG","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2010","EUR","ARM","URB","85.6","85.60735","","",""
"cci","EQ_MICS","PUBLISHED","2006","AFR","CMR","RUR","65.0","64.95853","","",""
"cci","EQ_DHS","PUBLISHED","2000","AMR","COL","URB","80.8","80.79221","","",""
"cci","EQ_DHS","PUBLISHED","2012","AFR","GIN","URB","61.4","61.44112","","",""
"cci","EQ_MICS","PUBLISHED","2006","AMR","GUY","RUR","66.5","66.51717","","",""
"cci","EQ_DHS","PUBLISHED","2012","EUR","KGZ","URB","78.1","78.11867","","",""
"cci","EQ_MICS","PUBLISHED","2011","WPR","LAO","RUR","57.3","57.27973","","",""
